[T0] --- GAME START: RED ---
[T0] Handoff Spot: (1, 3)
[T172] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T173] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T173] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T174] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T174] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T175] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T175] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T176] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T176] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T177] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T177] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T178] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T178] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T179] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T179] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T180] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T180] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T181] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T181] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T182] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T182] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T183] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T183] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T184] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T184] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T185] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T185] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T186] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T186] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T187] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T187] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T188] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T188] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T189] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T189] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T190] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T190] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T191] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T191] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T192] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T192] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T193] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T193] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T194] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T194] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T195] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T195] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T196] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T196] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T197] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T197] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T198] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T198] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T199] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T199] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T200] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T200] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T201] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T201] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T202] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T202] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T203] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T203] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T204] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T204] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T205] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T205] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T206] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T206] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T207] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T207] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T208] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T208] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T209] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T209] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T210] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T210] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T211] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T211] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T212] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T212] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T213] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T213] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T214] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T214] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T215] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T215] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T216] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T216] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T217] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T217] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T218] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T218] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T219] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T219] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T220] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T220] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T221] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T221] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T222] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T222] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T223] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T223] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T224] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T224] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T225] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T225] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T226] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T226] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T227] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T227] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T228] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T228] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T229] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T229] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T230] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T230] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T231] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T231] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T232] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T232] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T233] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T233] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T234] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T234] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T235] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T235] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T236] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T236] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T237] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T237] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T238] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T238] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T239] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T239] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T240] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T240] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T241] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T241] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T242] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T242] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T243] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T243] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T244] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T244] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T245] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T245] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T246] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T246] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T247] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T247] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T248] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T248] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T249] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T249] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T250] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T250] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T251] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T251] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T252] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T252] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T253] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T253] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T254] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T254] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T255] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T255] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T256] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T256] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T257] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T257] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T258] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T258] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T259] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T259] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T260] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T260] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T261] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T261] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T262] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T262] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T263] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T263] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T264] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T264] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T265] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T265] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T266] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T266] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T267] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T267] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T268] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T268] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T269] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T269] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T270] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T270] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T271] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T271] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T272] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T272] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T273] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T273] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T274] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T274] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T275] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T275] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T276] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T276] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T277] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T277] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T278] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T278] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T279] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T279] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T280] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T280] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T281] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T281] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T282] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T282] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T283] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T283] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T284] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T284] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T285] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T285] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T286] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T286] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T287] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T287] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T288] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T288] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T289] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T289] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T290] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T290] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T291] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T291] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T292] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T292] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T293] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T293] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T294] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T294] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T295] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T295] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T296] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T296] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T297] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T297] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T298] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T298] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T299] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T299] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T300] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T300] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T301] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T301] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T302] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T302] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T303] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T303] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T304] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T304] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T305] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T305] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T306] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T306] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T307] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T307] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T308] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T308] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T309] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T309] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T310] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T310] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T311] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T311] Bot 1 @ (8,1) -> [WASH P:50]
[T312] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T312] Bot 1 @ (8,1) -> [WASH P:50]
[T313] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T313] Bot 1 @ (8,1) -> [WASH P:50]
[T314] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T314] Bot 1 @ (8,1) -> [WASH P:50]
[T315] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T315] Bot 1 @ (8,1) -> [WASH P:50]
[T316] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T316] Bot 1 @ (8,1) -> [WASH P:50]
[T317] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T317] Bot 1 @ (8,1) -> [WASH P:50]
[T318] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T318] Bot 1 @ (8,1) -> [WASH P:50]
[T319] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T319] Bot 1 @ (8,1) -> [WASH P:50]
[T320] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T320] Bot 1 @ (8,1) -> [WASH P:50]
[T321] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T321] Bot 1 @ (8,1) -> [WASH P:50]
[T322] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T322] Bot 1 @ (8,1) -> [WASH P:50]
[T323] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T323] Bot 1 @ (8,1) -> [WASH P:50]
[T324] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T324] Bot 1 @ (8,1) -> [WASH P:50]
[T325] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T325] Bot 1 @ (8,1) -> [WASH P:50]
[T326] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T326] Bot 1 @ (8,1) -> [WASH P:50]
[T327] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T327] Bot 1 @ (8,1) -> [WASH P:50]
[T328] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T328] Bot 1 @ (8,1) -> [WASH P:50]
[T329] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T329] Bot 1 @ (8,1) -> [WASH P:50]
[T330] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T330] Bot 1 @ (8,1) -> [WASH P:50]
[T331] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T331] Bot 1 @ (8,1) -> [WASH P:50]
[T332] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T332] Bot 1 @ (8,1) -> [WASH P:50]
[T333] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T333] Bot 1 @ (8,1) -> [WASH P:50]
[T334] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T334] Bot 1 @ (8,1) -> [WASH P:50]
[T335] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T335] Bot 1 @ (8,1) -> [WASH P:50]
[T336] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T336] Bot 1 @ (8,1) -> [WASH P:50]
[T337] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T337] Bot 1 @ (8,1) -> [WASH P:50]
[T338] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T338] Bot 1 @ (8,1) -> [WASH P:50]
[T339] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T339] Bot 1 @ (8,1) -> [WASH P:50]
[T340] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T340] Bot 1 @ (8,1) -> [WASH P:50]
[T341] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T341] Bot 1 @ (8,1) -> [WASH P:50]
[T342] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T342] Bot 1 @ (8,1) -> [WASH P:50]
[T343] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T343] Bot 1 @ (8,1) -> [WASH P:50]
[T344] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T344] Bot 1 @ (8,1) -> [WASH P:50]
[T345] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T345] Bot 1 @ (8,1) -> [WASH P:50]
[T346] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T346] Bot 1 @ (8,1) -> [WASH P:50]
[T347] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T347] Bot 1 @ (8,1) -> [WASH P:50]
[T348] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T348] Bot 1 @ (8,1) -> [WASH P:50]
[T349] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T349] Bot 1 @ (8,1) -> [WASH P:50]
[T350] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T350] Bot 1 @ (8,1) -> [WASH P:50]
[T351] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T351] Bot 1 @ (8,1) -> [WASH P:50]
[T352] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T352] Bot 1 @ (8,1) -> [WASH P:50]
[T353] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T353] Bot 1 @ (8,1) -> [WASH P:50]
[T354] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T354] Bot 1 @ (8,1) -> [WASH P:50]
