[Turn 0] Initialized game with Red: bots/eric/IronChefOptimized.py, Blue: bots/eric/IronChefOptimized.py
[Turn 133] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 134] Bot 0 (RED): Pos=(7,33) Holding=None
[Turn 134] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 134] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 134] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 134] Bot 4 (BLUE): Pos=(7,33) Holding=None
[Turn 134] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 134] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 134] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 135] Bot 0 (RED): Pos=(7,33) Holding=Plate[]
[Turn 135] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 135] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 135] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 135] Bot 4 (BLUE): Pos=(7,33) Holding=Plate[]
[Turn 135] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 135] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 135] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 136] Bot 0 (RED): Pos=(7,33) Holding=Plate[]
[Turn 136] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 136] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 136] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 136] Bot 4 (BLUE): Pos=(7,33) Holding=Plate[]
[Turn 136] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 136] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 136] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 137] Bot 0 (RED): Pos=(8,34) Holding=Plate[]
[Turn 137] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 137] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 137] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 137] Bot 4 (BLUE): Pos=(8,34) Holding=Plate[]
[Turn 137] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 137] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 137] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 138] Bot 0 (RED): Pos=(9,35) Holding=Plate[]
[Turn 138] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 138] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 138] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 138] Bot 4 (BLUE): Pos=(9,35) Holding=Plate[]
[Turn 138] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 138] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 138] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 139] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 139] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 139] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 139] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 139] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 139] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 139] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 139] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 140] Bot 0 (RED): Pos=(8,34) Holding=None
[Turn 140] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 140] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 140] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 140] Bot 4 (BLUE): Pos=(8,34) Holding=None
[Turn 140] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 140] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 140] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 141] Bot 0 (RED): Pos=(7,33) Holding=None
[Turn 141] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 141] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 141] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 141] Bot 4 (BLUE): Pos=(7,33) Holding=None
[Turn 141] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 141] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 141] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 142] Bot 0 (RED): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 142] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 142] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 142] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 142] Bot 4 (BLUE): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 142] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 142] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 142] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 143] Bot 0 (RED): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 143] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 143] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 143] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 143] Bot 4 (BLUE): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 143] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 143] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 143] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 144] Bot 0 (RED): Pos=(8,34) Holding=NOODLES(Ck:0)
[Turn 144] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 144] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 144] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 144] Bot 4 (BLUE): Pos=(8,34) Holding=NOODLES(Ck:0)
[Turn 144] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 144] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 144] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 145] Bot 0 (RED): Pos=(9,35) Holding=NOODLES(Ck:0)
[Turn 145] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 145] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 145] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 145] Bot 4 (BLUE): Pos=(9,35) Holding=NOODLES(Ck:0)
[Turn 145] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 145] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 145] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 146] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 146] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 146] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 146] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 146] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 146] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 146] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 146] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 147] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 147] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 147] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 147] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 147] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 147] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 147] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 147] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 148] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 148] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 148] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 148] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 148] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 148] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 148] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 148] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 149] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 149] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 149] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 149] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 149] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 149] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 149] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 149] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 150] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 150] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 150] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 150] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 150] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 150] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 150] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 150] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 151] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 151] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 151] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 151] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 151] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 151] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 151] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 151] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 152] Bot 0 (RED): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:1)
[Turn 152] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 152] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 152] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 152] Bot 4 (BLUE): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:1)
[Turn 152] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 152] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 152] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 153] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 153] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 153] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 153] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 153] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 153] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 153] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 153] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 154] Bot 0 (RED): Pos=(9,35) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 154] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 154] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 154] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 154] Bot 4 (BLUE): Pos=(9,35) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 154] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 154] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 154] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 155] Bot 0 (RED): Pos=(8,34) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 155] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 155] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 155] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 155] Bot 4 (BLUE): Pos=(8,34) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 155] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 155] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 155] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 156] Bot 0 (RED): Pos=(7,33) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 156] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 156] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 156] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 156] Bot 4 (BLUE): Pos=(7,33) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 156] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 156] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 156] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 157] Bot 0 (RED): Pos=(7,32) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 157] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 157] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 157] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 157] Bot 4 (BLUE): Pos=(7,32) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 157] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 157] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 157] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 158] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 158] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 158] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 158] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 158] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 158] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 158] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 158] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 159] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 159] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 159] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 159] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 159] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 159] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 159] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 159] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 160] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 160] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 160] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 160] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 160] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 160] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 160] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 160] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 161] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 161] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 161] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 161] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 161] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 161] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 161] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 161] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 162] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 162] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 162] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 162] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 162] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 162] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 162] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 162] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 163] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 163] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 163] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 163] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 163] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 163] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 163] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 163] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 164] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 164] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 164] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 164] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 164] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 164] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 164] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 164] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 165] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 165] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 165] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 165] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 165] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 165] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 165] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 165] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 166] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 166] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 166] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 166] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 166] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 166] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 166] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 166] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 167] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 167] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 167] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 167] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 167] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 167] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 167] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 167] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 168] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 168] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 168] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 168] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 168] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 168] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 168] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 168] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 169] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 169] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 169] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 169] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 169] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 169] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 169] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 169] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 170] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 170] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 170] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 170] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 170] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 170] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 170] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 170] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 171] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 171] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 171] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 171] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 171] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 171] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 171] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 171] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 172] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 172] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 172] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 172] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 172] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 172] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 172] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 172] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 173] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 173] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 173] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 173] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 173] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 173] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 173] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 173] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 174] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 174] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 174] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 174] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 174] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 174] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 174] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 174] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 175] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 175] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 175] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 175] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 175] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 175] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 175] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 175] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 176] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 176] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 176] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 176] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 176] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 176] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 176] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 176] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 177] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 177] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 177] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 177] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 177] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 177] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 177] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 177] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 178] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 178] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 178] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 178] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 178] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 178] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 178] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 178] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 179] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 179] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 179] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 179] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 179] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 179] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 179] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 179] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 180] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
